Hotel_Name,Hotel_Address,Review_Count,Non_Review_Scoring_Count,Average_Hotel_Score,avg_hotel_feature,avg_room,avg_hotel,avg_breakfast,avg_staff,avg_bed,avg_location
Pillows Anna van den Vondel Amsterdam,Anna van den Vondelstraat 6 Oud West 1054 GZ Amsterdam Netherlands,161,20,9.4,8.123694326281713,7.874473284070315,8.038842047717788,7.756964417966206,8.886757804060732,,8.535144679881522
Boutiquehotel Das Tyrol,Mariahilfer Stra e 15 06 Mariahilf 1060 Vienna Austria,501,53,9.4,8.098325595189198,8.005981123891763,7.6547720270908135,8.262849522172221,8.398502294485958,6.20958312150483,8.178189792663478
The Guesthouse Vienna,F hrichgasse 10 01 Innere Stadt 1010 Vienna Austria,951,155,9.4,8.076114525904497,8.017424192397682,8.013546803977958,7.587425971456743,8.520558422211858,6.084856869109538,8.4618098796181
Hotel Margot House,Paseo de Gracia 46 Eixample 08007 Barcelona Spain,335,42,9.4,8.00000543576283,7.460210204662264,7.472340830328996,8.137064203367547,8.457131316504608,6.672025927808846,7.893648433122118
Corinthia Hotel London,Whitehall Place Westminster Borough London SW1A 2BD United Kingdom,520,157,9.4,7.989148054677707,8.051944743963334,7.927595071531765,7.369128581300549,8.25411622558561,6.59799186578546,8.275258303862424
Hotel Palace GL,Gran Via de les Corts Catalanes 668 Eixample 08010 Barcelona Spain,1266,195,9.4,7.962064628071444,7.726763077188166,8.020456791223745,7.69157956452541,8.485381653641697,6.0860175030866435,8.235961203219466
Covent Garden Hotel,10 Monmouth Street Camden London WC2H 9HB United Kingdom,158,46,9.4,7.951863940739637,8.024075782824458,7.899794883465798,7.660340427343831,8.425864403726552,6.20958312150483,8.240316700843017
The Wittmore Adults Only,Riudarenes 7 Ciutat Vella 08002 Barcelona Spain,217,43,9.4,7.94100566954284,7.49645185634051,7.78293645633037,7.279557693280073,8.2782372948168,5.988002033553635,8.362271500429397
Intercontinental London The O2,1 Waterview Drive Greenwich London SE10 0TW United Kingdom,4204,1258,9.4,7.929955399251583,7.826194655062251,7.846190465196124,7.64568611135544,8.321665053595453,6.1009215617002575,8.233171312118682
Splendide Royal Paris,18 Rue du Cirque 8th arr 75008 Paris France,59,7,9.4,7.899025239999325,7.539009241024087,7.638896791078744,7.759645042220761,8.164344946149567,,8.88755980861244
Excelsior Hotel Gallia Luxury Collection Hotel,Piazza Duca D Aosta 9 Central Station 20124 Milan Italy,1345,185,9.4,7.892544885402975,7.639156213466799,7.776144705368901,7.934491973564951,8.099324445918448,6.39679715302491,8.270605759682224
Goralska R sidences H tel Paris Bastille,7 Boulevard Bourdon 4th arr 75004 Paris France,107,17,9.4,7.808335562802334,7.564289501590668,7.94955241996662,7.056808413814027,8.706466524828764,5.989292069140824,8.019776714513558
The Beaumont Hotel,8 Balderton Street Brown Hart Gardens Westminster Borough London W1K 6TF United Kingdom,334,88,9.4,7.807079634875242,7.794495192540138,7.838138215973522,7.247386484299945,8.237864691308085,6.20958312150483,8.014934562341683
